2025-01-23 09:30:12,Taipei,27\u00baC
2025-01-23 09:30:14,Taipei,24\u00baC
2025-01-23 09:30:15,Taipei,32\u00baC
2025-01-23 09:30:16,Taichung,22\u00baC
2025-01-23 09:30:17,Taichung,29\u00baC
2025-01-23 09:30:18,Taipei,26\u00baC
2025-01-23 09:30:19,Taipei,31\u00baC
2025-01-23 09:30:20,Taichung,29\u00baC
2025-01-23 09:30:21,Taichung,20\u00baC
2025-01-23 09:30:22,Taipei,19\u00baC
2025-01-23 09:30:12,Taipei,27\u00baC
2025-01-23 09:30:14,Taipei,24\u00baC
2025-01-23 09:30:15,Taipei,32\u00baC
2025-01-23 09:30:16,Taichung,22\u00baC
2025-01-23 09:30:17,Taichung,29\u00baC
2025-01-23 09:30:18,Taipei,26\u00baC
2025-01-23 09:30:19,Taipei,31\u00baC
2025-01-23 09:30:20,Taichung,29\u00baC
2025-01-23 09:30:21,Taichung,20\u00baC
2025-01-23 09:30:22,Taipei,19\u00baC
2025-01-23 11:27:52,Mumbai,28\u00baC
2025-01-23 11:27:53,Pune,28\u00baC
2025-01-23 11:27:54,Chicago,19\u00baC
2025-01-23 11:27:55,Pittsburgh,22\u00baC
2025-01-23 11:27:56,Chicago,20\u00baC
2025-01-23 11:27:57,Pune,26\u00baC
2025-01-23 11:27:58,Pune,31\u00baC
2025-01-23 11:27:59,Mumbai,32\u00baC
2025-01-23 11:28:00,Moline,26\u00baC
2025-01-23 11:28:01,Pune,21\u00baC
2025-01-23 11:29:15,New York,23\u00baC
2025-01-23 11:29:16,Paris,29\u00baC
2025-01-23 11:29:17,Tokyo,26\u00baC
2025-01-23 11:29:18,Sydney,32\u00baC
2025-01-23 11:29:19,London,22\u00baC
2025-01-23 11:29:20,London,23\u00baC
2025-01-23 11:29:21,Paris,18\u00baC
2025-01-23 11:29:22,Sydney,24\u00baC
2025-01-23 11:29:23,Tokyo,32\u00baC
2025-01-23 11:29:24,New York,19\u00baC
